year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,Rnd,Pick,Tm,Name,Pos,Age,To,AP1 Misc,PB Misc,St,CarAV Approx Val,DrAV Approx Val,G,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,Att Rushing,Yds Rushing,TD Rushing,Rec Receiving,Yds Receiving,TD Receiving,Tkl,Int,Sk,College/Univ,Source,PICK,TEAM,PLAYER,POS,COLLEGE,YRS,DOLLARS,S.BONUS,G'TEED,2015 CAP HIT
2015,David Cobb,David,Cobb,RB,5,11,71,229,0,0,4.81,0,0,0,0,38.5,121,17,0,Minnesota,,0,0,0,5.5,5,138,TEN,David Cobb,RB,22,2015,0,0,0,,,3,,,,,,20,45,0,,,,,,,Minnesota,College Stats,138,TEN,David Cobb,RB,Minnesota,4,"$2,525,668","$245,668","$245,668","$496,417"
2015,Tevin Coleman,Tevin,Coleman,RB,5,11,71,206,0,0,0,0,0,0,0,0,0,22,0,Indiana,,0,0,0,6.1,3,73,ATL,Tevin Coleman,RB,22,2015,0,0,0,,,10,,,,,,80,354,1,2,14,0,,,,Indiana,College Stats,73,ATL,Tevin Coleman,RB,Indiana,4,"$3,219,372","$745,244","$745,244","$621,311"
2015,Jalen Collins,Jalen,Collins,CB,6,1,73,203,0,0,4.48,0,0,4.27,6.77,36,124,0,0,LSU,,0,0,0,6.1,2,42,ATL,Jalen Collins,CB,22,2015,0,0,0,,,12,,,,,,,,,,,,11,,,LSU,College Stats,42,ATL,Jalen Collins,CB,Louisiana State,4,"$5,427,834","$2,207,516","$2,889,236","$986,879"
2015,Landon Collins,Landon,Collins,SS,6,0,72,228,0,0,4.53,0,0,4.33,7.38,35,120,0,0,Alabama,,0,0,0,6.4,2,33,NYG,Landon Collins,SS,21,2015,0,0,1,,,12,,,,,,,,,,,,57,1,,Alabama,College Stats,33,NYGfrom TEN,Landon Collins,FS,Alabama,4,"$6,120,557","$2,711,314",-,"$1,112,828"
2015,Chris Conley,Chris,Conley,WR,6,2,74,213,0,0,4.35,0,0,4.3,7.06,45,139,18,0,Georgia,,0,0,0,5.5,3,76,KAN,Chris Conley,WR,22,2015,0,0,0,,,12,,,,,,,,,15,177,1,,,,Georgia,College Stats,76,KCfrom MIN,Chris Conley,WR,Georgia,4,"$3,123,684","$712,434","$712,434","$613,108"
2015,Amari Cooper,Amari,Cooper,WR,6,1,73,211,0,0,4.42,0,0,3.98,6.71,33,120,0,0,Alabama,,0,0,0,7,1,4,OAK,Amari Cooper,WR,21,2015,0,0,1,,,12,,,,,,3,-3,0,62,920,4,,,,Alabama,College Stats,4,OAK,Amari Cooper,WR,Alabama,4,"$22,663,116","$14,742,266","$22,663,116","$4,120,566"
2015,Xavier Cooper,Xavier,Cooper,DT,6,3,75,293,0,0,4.86,0,0,4.37,7.23,29,110,29,0,Washington St.,,0,0,0,5.4,3,96,CLE,Xavier Cooper,DT,23,2015,0,0,0,,,10,,,,,,,,,,,,7,,1,Washington St.,College Stats,96,CLEfrom NE,Xavier Cooper,DT,Washington State,4,"$2,907,284","$592,284","$592,284","$583,071"
2015,Christian Covington,Christian,Covington,DT,6,2,74,289,0,0,0,0,0,0,0,0,0,0,0,Rice,,0,0,0,5.4,6,216,HOU,Christian Covington,DT,21,2015,0,0,0,,,12,,,,,,,,,,,,4,,1,Rice,College Stats,216 (C),HOU,Christian Covington,DT,Rice,4,"$2,370,487","$90,487","$90,487","$457,621"
2015,Jamison Crowder,Jamison,Crowder,WR,5,8,68,185,0,0,4.56,0,0,4.32,7.17,37,115,10,0,Duke,,0,0,0,5.4,4,105,WAS,Jamison Crowder,WR,22,2015,0,0,0,,,12,0,1,0,0,0,2,2,0,48,448,1,,,,Duke,College Stats,105,WAS,Jamison Crowder,WR,Duke,4,"$2,825,624","$545,624","$545,624","$571,406"
2015,Ronald Darby,Ronald,Darby,CB,5,11,71,193,0,0,4.38,0,0,4.14,6.94,41.5,129,12,0,Florida St.,,0,0,0,5.6,2,50,BUF,Ronald Darby,CB,21,2015,0,0,1,,,12,,,,,,,,,,,,53,2,,Florida St.,College Stats,50,BUF,Ronald Darby,CB,Florida State,4,"$4,569,691","$1,583,412","$2,176,125","$830,853"
