R1_year,R5_pos,Phys3_htin,Phys4_wt,Speed1_40,Speed4_20ss,Speed5_3cone,Strg1_v,Strg2_b,Strg3_bench,Draft6_grade,Draft8_pick,Draft9_team
2014,C,75,310,5.18,4.66,8.26,29,109,42,5.3,111,CIN
2014,QB,77,232,4.93,4.21,7.08,32.5,115,0,6.4,3,JAX
2014,QB,73,222,4.84,4.23,7.33,30.5,106,0,5.4,213,NYJ
2014,CB,71,197,4.62,4.33,7.04,34.5,123,11,5.6,102,WAS
2014,QB,74,214,0,4.2,7.17,30,113,0,6.3,32,MIN
2014,OT,78,325,5.19,4.69,8.14,27.5,100,23,5.2,64,SEA
2014,FS,71,198,4.42,0,7.35,38,119,10,5.3,79,BAL
2014,WR,70,179,4.34,4.12,6.91,36.5,119,0,5,91,ARI
2014,ILB,73,251,4.86,4.26,6.98,33,116,23,5.4,73,BUF
2014,WR,76,211,4.42,4.15,7.18,39,124,16,5.3,118,PIT
2014,SS,73,211,4.49,4.26,6.96,36.5,125,19,5.3,27,ARI
2014,RB,69,207,4.7,4.38,7.08,32.5,115,19,5.8,117,CHI
2014,QB,74,214,4.69,4.2,0,34.5,110,0,5.8,36,OAK
2014,NT,73,337,5.47,0,7.89,26,88,32,5.2,165,SDG
2014,CB,72,206,0,0,0,0,0,17,5.4,219,OAK
2014,DE,78,271,4.77,0,7.26,32,112,22,5,88,CIN
2014,FS,73,208,4.58,4.16,7.16,33,119,11,6.1,21,GNB
2014,DE,77,266,4.53,0,7.27,37.5,124,21,7.5,1,HOU
2014,CB,72,191,4.56,4.32,7.28,36.5,122,10,5.4,109,BUF
2014,CB,71,177,0,0,0,0,0,0,5.3,114,JAX
2014,WR,70,189,4.33,3.81,6.76,36,120,16,5.8,20,NOR
2014,DE,75,273,4.84,0,7.19,31.5,108,24,5.4,72,MIN
2014,WR,72,197,0,0,0,0,0,10,5.2,126,SFO
2014,CB,71,199,4.51,0,0,0,0,15,5.9,24,CIN
2014,CB,73,198,4.59,4.3,6.86,35,133,11,5.3,127,CLE
2014,SS,72,212,4.64,4.5,7.55,32,111,14,5.2,248,DAL
2014,CB,71,203,4.41,4.27,7.15,32.5,117,17,5.2,195,NYJ
2014,DT,73,285,4.68,0,7.11,32,116,35,5.4,13,STL
2014,SS,75,190,4.52,4.24,7.04,33.5,118,8,5.2,247,OAK
2014,OT,76,313,5.42,4.89,8.14,24,101,23,5.4,137,NYJ
2014,DE,76,273,4.92,0,6.83,31,114,22,5.8,60,CAR
2014,DT,74,288,0,0,0,0,0,26,5.3,29,NWE
2014,TE,76,250,4.6,0,0,32,120,24,6.4,10,DET
2014,OG,76,313,5.25,4.82,7.95,27,99,26,5,143,TAM
2014,WR,69,197,4.45,3.95,6.69,39.5,120,15,5.4,106,SFO
2014,DT,73,334,5.27,0,7.81,28,92,25,4.8,107,OAK
2014,DE,73,261,5.01,0,7.67,34,112,28,5.1,210,NYJ
2014,WR,74,225,4.45,0,0,0,0,19,4.8,209,NYJ
2014,WR,77,231,4.53,4.26,7.08,37,0,12,6.2,7,TAM
2014,CB,72,213,4.59,4.13,7.05,35,117,17,5.4,182,MIN
2014,QB,74,212,4.99,4.5,7.55,28,103,0,5.2,183,CHI
2014,DT,75,315,0,0,0,0,0,24,5.5,51,CHI
2014,TE,77,265,4.76,4.26,7.1,31.5,116,25,5.5,65,HOU
2014,OT,77,323,5.28,5,8.24,23.5,97,26,5.2,140,NWE
2014,DE,74,252,0,0,0,0,0,0,5.4,23,KAN
